DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-307.74737548828125;7.347119331359863;-2261.0566916252137
2;-296.0171203613281;7.369339466094971;-2181.4506477185205
3;-334.12158203125;7.385107517242432;-2467.523807131918
4;-329.5278015136719;7.396209716796875;-2437.256727510132
5;-319.359619140625;7.403982639312744;-2364.5330758147174
6;-311.75872802734375;7.40940523147583;-2309.9467504040513
7;-302.6090087890625;7.408432960510254;-2241.8585548602277
8;-324.4317932128906;7.406068801879883;-2402.7641820519348
9;-370.415771484375;7.402833938598633;-2742.126444536727
10;-355.202392578125;7.3984575271606445;-2627.949815035099
11;-355.5844421386719;7.3926005363464355;-2628.693737670794
12;-333.6531066894531;7.384850025177002;-2463.978153335993
13;-351.8926696777344;7.374729156494141;-2595.1131310289493
14;-369.0637512207031;7.361724853515625;-2716.945789893158
15;-372.3133239746094;7.345348834991455;-2734.771240508693
16;-369.7150573730469;7.325234889984131;-2708.2496376215277
17;-358.1701965332031;7.301255226135254;-2615.0920192839403
18;-404.2926940917969;7.273632526397705;-2940.676489931051
19;-386.7904968261719;7.24299430847168;-2801.521367082896
20;-385.3035583496094;7.210351943969727;-2778.174260964559
21;-388.7064208984375;7.17716646194458;-2789.8106876147795
22;-424.14642333984375;7.145214557647705;-3030.617198622058
23;-404.7933349609375;7.115767955780029;-2880.415441628371
24;-392.2469177246094;7.089763164520264;-2780.937748680546
25;-375.5290832519531;7.06770133972168;-2654.1274048042833
26;-370.33087158203125;7.049644947052002;-2610.7011575856304
27;-386.75518798828125;7.035312175750732;-2720.9434830887185
28;-388.5682067871094;7.024215221405029;-2729.3867126680707
29;-402.4836730957031;7.015790939331055;-2823.741306933516
30;-392.4417419433594;7.009491920471191;-2750.817219407618
31;-391.9471435546875;7.004836559295654;-2745.525680483377
32;-401.0706787109375;7.001426696777344;-2808.0669572213665
33;-396.990234375;6.9989447593688965;-2778.512720399536
34;-378.8865051269531;6.997147083282471;-2651.124604244149
35;-383.5769348144531;6.999432563781738;-2684.8208882558683
36;-385.91644287109375;7.003650665283203;-2702.823951857863
37;-378.2616271972656;7.009658336639404;-2651.4847685140994
38;-389.3557434082031;7.018183708190918;-2732.5701350780146
39;-386.9621887207031;7.030219078063965;-2720.4289616336755
40;-402.3374328613281;7.047085285186768;-2835.3062027968845
41;-362.374267578125;7.0704755783081055;-2562.1584091184195
42;-349.7612609863281;7.102448463439941;-2484.1613306631625
43;-354.5671691894531;7.145298004150391;-2533.4880863466533
44;-332.25079345703125;7.201219081878662;-2392.6107538120996
45;-324.1844482421875;7.271716117858887;-2357.377277441905
46;-324.0276184082031;7.356799602508545;-2383.806254307259
47;-373.5677795410156;7.454232215881348;-2784.6609770698997
48;-400.54974365234375;7.559301853179932;-3027.8764194819087
49;-421.2290954589844;7.664507865905762;-3228.5137154937547
50;-430.7377014160156;7.761932849884033;-3343.357114304512
51;-432.61572265625;7.84721040725708;-3394.8266011711676
52;-425.24176025390625;7.918436527252197;-3367.249887307553
53;-421.4409484863281;7.975759506225586;-3361.311651202559
54;-415.2186279296875;8.020617485046387;-3330.3097872898215
55;-399.8952941894531;8.055014610290527;-3221.1624372824735
56;-400.1045227050781;8.081016540527344;-3233.2512659195345
57;-393.26116943359375;8.100480079650879;-3185.6042690970353
58;-421.6567077636719;8.114952087402344;-3421.723980834009
59;-409.70465087890625;8.125657081604004;-3329.1194977802807
60;-415.2635803222656;8.133543014526367;-3377.5641929173726
61;-411.1239929199219;8.139324188232422;-3346.271459935815
62;-414.7875061035156;8.143534660339355;-3377.8364326297014
63;-418.1300048828125;8.140470504760742;-3403.7749719040003
64;-417.8095397949219;8.135025024414062;-3398.8910616706125
65;-408.482177734375;8.127431869506836;-3319.911069443915
66;-408.3099670410156;8.116827011108398;-3314.1813693832955
67;-406.00897216796875;8.102039337158203;-3289.500663744053
68;-416.56695556640625;8.081507682800293;-3366.4890518106404
69;-422.70166015625;8.053190231323242;-3404.0968803344294
70;-433.2086181640625;8.014481544494629;-3471.9424751918996
71;-422.8471984863281;7.962172508239746;-3366.782338974037
72;-426.1612548828125;7.892489433288574;-3363.4732010395965
73;-435.2292785644531;7.8012871742248535;-3395.348588712004
74;-418.2790832519531;7.684471607208252;-3214.2537391387305
75;-424.59454345703125;7.5387139320373535;-3200.896800226561
76;-421.2279968261719;7.362435340881348;-3101.263890401664
77;-400.5409851074219;7.156891345977783;-2866.6283100247238
78;-401.3086853027344;6.926997661590576;-2779.8643246680294
79;-400.5498352050781;6.6814351081848145;-2676.2477315168508
80;-396.0209655761719;6.431708812713623;-2547.091534315623
81;-382.45220947265625;6.190235614776611;-2367.4692880276416
82;-366.78265380859375;5.9680705070495605;-2188.9847386924375
83;-365.0533142089844;5.773061752319336;-2107.4753258173005
84;-354.08843994140625;5.609691619873047;-1986.3269542332273
85;-354.422119140625;5.470094203948975;-1938.7223796624457
86;-365.02423095703125;5.351340293884277;-1953.368875364482
87;-365.4515380859375;5.254354000091553;-1920.2117509814561
88;-368.79779052734375;5.178507328033447;-1909.8220608083939
89;-356.87017822265625;5.12199068069458;-1827.8857270742592
90;-354.2413635253906;5.0822834968566895;-1800.355035749104
91;-348.6133117675781;5.056578636169434;-1762.7906245682098
92;-352.85772705078125;5.042105674743652;-1779.145947939891
93;-357.6871643066406;5.036350727081299;-1801.4380100233975
94;-364.9980773925781;5.03718900680542;-1838.5643029470084
95;-346.7226257324219;5.042969703674316;-1748.5116971470125
96;-340.94140625;5.052563190460205;-1722.627999322489
97;-333.43243408203125;5.0653910636901855;-1688.965671943588
98;-338.01470947265625;5.081450939178467;-1717.6051629059657
99;-338.8701477050781;5.101371765136719;-1728.702603550395
100;-341.7298278808594;5.1265716552734375;-1751.9024493754841
101;-346.9959411621094;5.159711837768555;-1790.3990652717766
102;-350.8670349121094;5.205880165100098;-1826.5717376364337
103;-359.55987548828125;5.275696754455566;-1896.928868145973
104;-367.953125;5.393825531005859;-1984.6749598383904
105;-343.6070251464844;5.618419647216797;-1930.5284610047238
106;-346.3210754394531;4.759521961212158;-1648.3227641846897
107;-313.9976501464844;4.717590808868408;-1481.3124283373327
108;-344.7717590332031;4.706977367401123;-1622.8328666883608
109;-343.1655578613281;4.709715366363525;-1616.2121010662086
110;-348.0472106933594;4.705167293548584;-1637.6203523652075
111;-347.0149230957031;4.7079877853393555;-1633.742019265046
112;-352.303466796875;4.749054908752441;-1673.108508362202
113;-355.85272216796875;4.852092266082764;-1726.6302410956996
114;-367.0426940917969;5.003896236419678;-1836.6435555712815
115;-374.7556457519531;5.16010046005249;-1933.7767800519214
116;-383.0923767089844;5.28252649307251;-2023.695629259324
117;-383.5220031738281;5.381802558898926;-2064.03969807495
118;-400.6443786621094;5.477288246154785;-2194.4447461339587
119;-422.6628112792969;5.560330867767334;-2350.1450762135937
120;-417.5400390625;5.625127792358398;-2348.71607815288
121;-421.9700622558594;5.670839786529541;-2392.9246177648747
122;-417.263427734375;5.701064109802246;-2378.8455521895085
123;-416.4425048828125;5.7208638191223145;-2382.41085892875
124;-417.5820007324219;5.734328746795654;-2394.5524709443707
125;-410.6145935058594;5.74387788772583;-2358.520084015836
126;-396.34375;5.754083156585693;-2280.594896093011
127;-387.922119140625;5.792042255401611;-2246.861305867438
128;-379.994384765625;5.911747932434082;-2246.4310184747446
129;-377.14849853515625;6.187849998474121;-2333.7383360852837
130;-375.24310302734375;6.557610988616943;-2460.698295814829
131;-392.2084655761719;6.794479846954346;-2664.852515162187
132;-388.99249267578125;6.970649242401123;-2711.530224370159
133;-383.5474548339844;5.9560546875;-2284.429616242647
134;-379.6493835449219;4.7204203605651855;-1792.1046799614705
135;-370.9443664550781;4.694904804229736;-1741.5484881719021
136;-362.2393798828125;4.756511688232422;-1722.995844350662
137;-353.5343933105469;4.811629772186279;-1701.0766123448411
138;-344.82940673828125;4.781366348266602;-1648.7557212711545
139;-336.1244201660156;4.575477600097656;-1537.9297553154174
140;-327.41943359375;4.192172527313232;-1372.598754420178
141;-326.10833740234375;3.6463491916656494;-1189.104872482465
142;-321.8235778808594;2.9699604511260986;-955.8032985460522
143;-323.2324523925781;2.4484846591949463;-791.4297010371884
144;-349.2845458984375;2.1882736682891846;-764.3301745298959
145;-399.0047607421875;2.0567808151245117;-820.6653370378772
146;-438.43951416015625;1.9732153415679932;-865.1355756904377
147;-491.5650939941406;2.582260847091675;-1269.3492960180083
148;-530.6901245117188;3.8484489917755127;-2042.3338746223453
149;-560.8187866210938;4.029564380645752;-2259.8554065653298
150;-576.194580078125;3.8907601833343506;-2241.834930021025
151;-580.3576049804688;3.98388934135437;-2312.0804766556394
152;-580.910400390625;4.213716506958008;-2447.791743189562
153;-581.5571899414062;4.35086727142334;-2530.278144176991
154;-602.7135620117188;4.40803861618042;-2656.7846558433084
155;-623.6104736328125;4.390453338623047;-2737.932685961481
156;-629.2811889648438;4.356741428375244;-2741.6154260603653
157;-632.8153076171875;4.298336505889893;-2720.0531382168992
158;-640.13525390625;4.202914714813232;-2690.433878113283
159;-703.0925903320312;4.087954998016357;-2874.2108687160944
160;-754.59033203125;4.011417865753174;-3026.9771392347757
161;-767.7415161132812;4.012007236480713;-3080.184518393158
162;-726.8927612304688;4.068574905395508;-2957.417647255934
163;-684.7319946289062;4.137753486633301;-2833.2521981851314
164;-638.4437255859375;4.1940836906433105;-2677.6864168735337
165;-594.0621337890625;4.255707740783691;-2528.15482127259
166;-557.9757690429688;4.355422019958496;-2430.2199510930222
167;-562.1566162109375;4.511178493499756;-2535.9888370293775
168;-528.3474731445312;3.8959686756134033;-2058.4252052105876
169;-477.9569396972656;3.162477493286133;-1511.52806455252
170;-475.1102294921875;3.3295223712921143;-1581.8901379239687
171;-499.4449462890625;3.7866058349609375;-1891.201147859916
172;-472.5082702636719;6.1660542488098145;-2913.51162745709
173;-444.1631164550781;8.367018699645996;-3716.321101072681
174;-533.5614013671875;9.224720001220703;-4921.954531071242
175;-606.1421508789062;8.926210403442383;-5410.552373140235
176;-607.8916015625;8.60204029083252;-5229.108049099334
177;-590.1520385742188;8.1991605758667;-4838.751328445098
178;-545.6956787109375;7.634738922119141;-4166.244037886616
179;-513.6929931640625;6.869717121124268;-3528.9255501407315
180;-503.0751647949219;5.9951300621032715;-3016.0010439595935
181;-519.744873046875;5.205559253692627;-2705.5627334484598
182;-570.7077026367188;4.422574043273926;-2523.9970719776466
183;-569.8662719726562;3.718503713607788;-2119.049848590148
184;-560.27587890625;3.316502571105957;-1858.156392921228
185;-546.9244384765625;3.14643931388855;-1720.8645549490757
