DayOfYear;flux_m3/s;S_PSU;dis_PSU*m3/s
275;-5.7557163;0.3;-1.7267148971557618
276;-5.07613;0.3;-1.5228389739990233
277;-4.4919195;0.3;-1.347575855255127
278;-5.4840803;0.3;-1.6452240943908691
279;-33.975533;0.3;-10.192659759521485
280;-26.2036;0.3;-7.861079978942871
281;-31.851788;0.3;-9.555536270141602
282;-20.539448;0.3;-6.161834335327148
283;-19.567549;0.3;-5.870264625549316
284;-39.82411;0.3;-11.947232437133788
285;-62.97411;0.3;-18.89223289489746
286;-24.017765;0.3;-7.205329513549804
287;-13.693441;0.3;-4.1080324172973635
288;-9.603616;0.3;-2.8810847282409666
289;-7.5640593;0.3;-2.269217777252197
290;-6.094958;0.3;-1.8284873485565185
291;-5.257173;0.3;-1.5771519184112548
292;-4.776916;0.3;-1.4330748081207274
293;-4.164297;0.3;-1.2492891311645506
294;-7.5665116;0.3;-2.269953489303589
295;-27.961327;0.3;-8.388397979736327
296;-43.50972;0.3;-13.052915954589844
297;-36.612766;0.3;-10.983829879760743
298;-19.748455;0.3;-5.924536514282226
299;-54.44968;0.3;-16.33490409851074
300;-36.58192;0.3;-10.974576187133788
301;-46.403328;0.3;-13.920998382568358
302;-54.495277;0.3;-16.348583221435547
303;-28.293653;0.3;-8.488096046447753
304;-16.713667;0.3;-5.014100074768066
305;-19.871023;0.3;-5.961306953430175
306;-45.05669;0.3;-13.517007064819335
307;-78.47752;0.3;-23.54325714111328
308;-32.01033;0.3;-9.603099060058593
309;-17.389275;0.3;-5.2167823791503904
310;-11.947495;0.3;-3.5842486381530763
311;-9.283721;0.3;-2.7851162910461427
312;-7.5707994;0.3;-2.2712398052215574
313;-6.5491247;0.3;-1.9647374153137207
314;-5.80916;0.3;-1.7427480697631836
315;-5.1911116;0.3;-1.5573334693908691
316;-5.4892673;0.3;-1.6467802047729492
317;-6.550734;0.3;-1.9652202129364014
318;-9.369735;0.3;-2.810920429229736
319;-26.531288;0.3;-7.9593864440917965
320;-43.914486;0.3;-13.174345779418944
321;-113.26047;0.3;-33.97814025878906
322;-44.54411;0.3;-13.363232803344726
323;-22.707087;0.3;-6.812125968933105
324;-15.280679;0.3;-4.584203624725341
325;-11.109238;0.3;-3.3327713012695312
326;-9.489796;0.3;-2.846938705444336
327;-8.46876;0.3;-2.540627861022949
328;-7.2759695;0.3;-2.1827908515930177
329;-6.361766;0.3;-1.9085297584533691
330;-5.656736;0.3;-1.6970207691192627
331;-5.7509937;0.3;-1.7252981185913085
332;-5.111199;0.3;-1.533359670639038
333;-4.3957844;0.3;-1.3187353134155273
334;-4.0678954;0.3;-1.2203686237335205
335;-3.9538038;0.3;-1.1861411333084106
336;-5.2179956;0.3;-1.5653986930847168
337;-4.544205;0.3;-1.363261556625366
338;-5.6860995;0.3;-1.7058298587799072
339;-5.8264246;0.3;-1.7479273796081543
340;-5.187433;0.3;-1.556229829788208
341;-5.7334046;0.3;-1.720021390914917
342;-13.022955;0.3;-3.9068864822387694
343;-28.823925;0.3;-8.647177505493163
344;-25.758692;0.3;-7.727607536315918
345;-20.502821;0.3;-6.150846290588379
346;-16.651455;0.3;-4.995436477661133
347;-12.050101;0.3;-3.6150303840637203
348;-9.904229;0.3;-2.9712687492370606
349;-19.60983;0.3;-5.882949256896972
350;-30.976213;0.3;-9.292864036560058
351;-28.059736;0.3;-8.417920875549315
352;-24.796978;0.3;-7.439093399047851
353;-36.803856;0.3;-11.041156768798828
354;-31.369707;0.3;-9.410912132263183
355;-53.183586;0.3;-15.95507583618164
356;-38.84063;0.3;-11.652188873291015
357;-40.22543;0.3;-12.067628860473633
358;-30.41952;0.3;-9.125855827331543
359;-17.30104;0.3;-5.190312194824219
360;-11.274854;0.3;-3.382456111907959
361;-9.157851;0.3;-2.7473553657531737
362;-57.34934;0.3;-17.204801559448242
363;-44.236267;0.3;-13.270880126953125
364;-28.834835;0.3;-8.65045051574707
365;-36.799416;0.3;-11.039824676513671
366;-22.393263;0.3;-6.717978858947753
