DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
103;-7.888803958892822;1.0641791820526123;-8.395100944347973
104;-9.122941970825195;1.0631799697875977;-9.699329168915938
105;-6.793350696563721;1.0621734857559204;-7.215716989331497
106;-5.912258625030518;1.0611586570739746;-6.273844422811408
107;-8.591696739196777;1.060134768486023;-9.108356433510494
108;-7.7895731925964355;1.0591011047363281;-8.249945573703371
109;-6.548810958862305;1.0580568313598633;-6.929014172308598
110;-5.970820426940918;1.0570013523101807;-6.311165265677801
111;-6.270179271697998;1.055933952331543;-6.620895180191383
112;-7.46498441696167;1.054856300354004;-7.874485844276478
113;-7.9763593673706055;1.053781509399414;-8.405340013659952
114;-7.598674774169922;1.052690029144287;-7.999049169478894
115;-6.846529960632324;1.0515815019607544;-7.199684259221044
116;-5.8230085372924805;1.0504555702209473;-6.116811753443017
117;-5.192684650421143;1.049311876296997;-5.448745673552025
118;-8.467475891113281;1.0481499433517456;-8.875184375602657
119;-13.109711647033691;1.0469695329666138;-13.72546868042184
120;-9.410175323486328;1.045770287513733;-9.840881753596932
121;-7.000612735748291;1.0445518493652344;-7.31250297981569
122;-10.772275924682617;1.0433138608932495;-11.23886478558802
123;-12.550487518310547;1.0420560836791992;-13.07831187159536
124;-9.660552024841309;1.0407780408859253;-10.054490410290896
125;-7.615612983703613;1.0394796133041382;-7.916274439374206
126;-6.210374355316162;1.0381603240966797;-6.447364253476735
127;-5.1896257400512695;1.0368201732635498;-5.380708658972935
128;-4.487464904785156;1.0354586839675903;-4.646584504659586
129;-4.285569190979004;1.0340758562088013;-4.431603630503673
130;-3.9056572914123535;1.0326714515686035;-4.033260784452295
131;-5.627820014953613;1.031245231628418;-5.803662554883886
132;-5.403647422790527;1.0297971963882446;-5.564660966260249
133;-4.5358052253723145;1.028327226638794;-4.664292007980862
134;-4.1628217697143555;1.0268354415893555;-4.274532930162422
135;-3.9163410663604736;1.0253217220306396;-4.015509566220032
136;-3.4156136512756348;1.0237864255905151;-3.4968588912376504
137;-3.1132586002349854;1.0222294330596924;-3.1824645738864206
138;-2.873929262161255;1.0206512212753296;-2.9332794112837917
139;-2.7002573013305664;1.0190521478652954;-2.75170300270986
140;-2.4254353046417236;1.017432689666748;-2.4677171656143173
141;-2.247591018676758;1.0157932043075562;-2.283087682834548
142;-2.1483078002929688;1.0141346454620361;-2.1786733693934366
143;-2.202101945877075;1.0124577283859253;-2.2295351337969294
144;-3.1451539993286133;1.01076340675354;-3.1790065711259103
145;-3.7599313259124756;1.0090528726577759;-3.7939695054079436
146;-5.07491397857666;1.0073274374008179;-5.112100093069216
147;-3.882694959640503;1.0055887699127197;-3.9043944484112103
148;-3.187520742416382;1.0038384199142456;-3.199755785511144
149;-2.7216880321502686;1.0048037767410278;-2.734762413815446
150;-2.3964180946350098;1.0088460445404053;-2.417616915837584
151;-2.192746639251709;1.0134210586547852;-2.222175620512189
152;-2.02441668510437;1.0186140537261963;-2.062099286045111
153;-1.8957805633544922;1.0245262384414673;-1.9422769294840236
154;-1.7825461626052856;1.0312771797180176;-1.8382991792887537
155;-1.703809142112732;1.0390093326568604;-1.7702735997212073
156;-1.8513307571411133;1.047891616821289;-1.9399939803715824
157;-2.1010048389434814;1.0581244230270386;-2.2231245329840874
158;-3.972191572189331;1.0699447393417358;-4.250025476321554
159;-15.016217231750488;1.083630919456482;-16.27203728560005
160;-10.124780654907227;1.0995073318481445;-11.132270563424754
161;-6.730769157409668;1.1179465055465698;-7.5246398591667685
162;-4.950511932373047;1.1393662691116333;-5.640446310580501
163;-3.678905487060547;1.1642199754714966;-4.283055255907584
164;-3.0365989208221436;1.1929723024368286;-3.6225784061503816
165;-2.5537102222442627;1.2260551452636719;-3.1309895574950133
166;-2.241764545440674;1.2637945413589478;-2.8331297955399464
167;-2.0221190452575684;1.306302785873413;-2.641499742187648
168;-1.9016718864440918;1.3533377647399902;-2.5736043800691277
169;-1.850885033607483;1.4014880657196045;-2.5939932856199164
170;-1.7968422174453735;1.446903109550476;-2.5998565917932837
171;-1.6454864740371704;1.488573670387268;-2.449427840230115
172;-1.7129020690917969;1.5259028673171997;-2.613722178660737
173;-3.8552165031433105;1.558672308921814;-6.0090192083478655
174;-14.430471420288086;1.5869635343551636;-22.900631927551558
175;-8.177033424377441;1.611065149307251;-13.173733574735024
176;-5.092261791229248;1.6313854455947876;-8.307441771369838
177;-3.6329774856567383;1.6483837366104126;-5.988541002828356
178;-2.7186214923858643;1.662522315979004;-4.519768899791643
179;-2.4889683723449707;1.6742357015609741;-4.167119709036058
180;-7.116077899932861;1.683915138244629;-11.982871300624993
181;-12.706549644470215;1.6919025182724;-21.498243342032424
182;-16.96249008178711;1.698490023612976;-28.81062017954946
183;-16.391326904296875;1.7039234638214111;-27.92956651539862
184;-10.918506622314453;1.7084077596664429;-18.653261437531455
185;-7.639492034912109;1.712112307548523;-13.079668336391933
186;-6.43774938583374;1.7151764631271362;-11.041876222093208
187;-18.661998748779297;1.7177141904830933;-32.05598007355593
188;-21.051794052124023;1.7185134887695312;-36.17779204137332
189;-14.730700492858887;1.7178757190704346;-25.305512701581165
190;-26.61895179748535;1.7171845436096191;-45.709652593731334
191;-14.007810592651367;1.7164279222488403;-24.043397230799883
192;-9.120256423950195;1.7155908346176147;-15.646628330291378
193;-7.475295066833496;1.7146551609039307;-12.817553265625747
194;-5.514721393585205;1.7135987281799316;-9.450019566314268
195;-4.386584758758545;1.7123943567276;-7.511562986205433
196;-4.776316165924072;1.7110099792480469;-8.172324623939858
197;-12.023138999938965;1.7094063758850098;-20.552430464647387
198;-8.439417839050293;1.707537293434143;-14.410620695051762
199;-6.365140438079834;1.7053476572036743;-10.854777333851814
200;-5.416163444519043;1.7027724981307983;-9.2224941587084
