DayOfYear;flux_m3/s;S_PSU;dis_PSU*m3/s
228;-315.9303;0.3;-94.77908935546874
229;-298.6064;0.3;-89.58192443847656
230;-296.53375;0.3;-88.96012573242187
231;-322.37463;0.3;-96.71239013671875
232;-334.36752;0.3;-100.31025695800781
233;-311.8931;0.3;-93.56792907714843
234;-296.18854;0.3;-88.85656127929687
235;-271.30057;0.3;-81.39017028808594
236;-255.8032;0.3;-76.74096221923828
237;-260.75235;0.3;-78.22570495605468
238;-250.0586;0.3;-75.017578125
239;-230.03629;0.3;-69.01088562011718
240;-230.62343;0.3;-69.18702850341796
241;-216.75352;0.3;-65.02605743408203
242;-198.84462;0.3;-59.653385925292966
243;-200.82988;0.3;-60.24896392822265
244;-195.417;0.3;-58.625102233886714
245;-192.02249;0.3;-57.606747436523435
246;-167.01813;0.3;-50.105438232421875
247;-221.93605;0.3;-66.58081512451172
248;-230.42427;0.3;-69.12728118896484
249;-203.94788;0.3;-61.18436279296875
250;-163.96783;0.3;-49.19035034179687
251;-156.08316;0.3;-46.824948120117185
252;-155.97452;0.3;-46.792355346679685
253;-145.94354;0.3;-43.78306274414062
254;-116.05251;0.3;-34.81575393676758
255;-116.21477;0.3;-34.8644302368164
256;-124.73075;0.3;-37.4192253112793
257;-130.8567;0.3;-39.25701141357422
258;-131.71634;0.3;-39.51490173339844
259;-130.68007;0.3;-39.204020690917964
260;-139.33334;0.3;-41.80000305175781
261;-136.98285;0.3;-41.094854736328124
262;-133.8539;0.3;-40.156169128417964
263;-131.10858;0.3;-39.332574462890626
264;-131.52312;0.3;-39.4569351196289
265;-135.24153;0.3;-40.57245941162109
266;-149.62817;0.3;-44.8884521484375
267;-217.23164;0.3;-65.16949310302734
268;-275.21304;0.3;-82.56391296386718
269;-278.10773;0.3;-83.43231811523437
270;-340.71918;0.3;-102.21575317382812
271;-340.91483;0.3;-102.27444763183594
272;-365.91586;0.3;-109.7747589111328
273;-420.08276;0.3;-126.02482910156249
