DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
1;-6.637843608856201;85.74104309082031;-569.1356348970658
2;-5.881591796875;85.63597869873047;-503.67586983181536
3;-5.971848011016846;85.64707946777344;-511.4713411690245
4;-5.518612861633301;85.57156372070312;-472.2363321391458
5;-4.931163311004639;85.4543685913086;-421.3894471625281
6;-5.022586345672607;85.47113037109375;-429.28613235105877
7;-4.857662677764893;85.43225860595703;-415.001094107316
8;-5.70300817489624;85.59111785888672;-488.12684484773854
9;-5.887840747833252;85.61717987060547;-504.10032035671975
10;-5.377549648284912;85.52816772460938;-459.9319682659261
11;-4.670129776000977;85.37487030029297;-398.71172391161963
12;-5.397922039031982;85.52461242675781;-461.65519029806455
13;-4.205949783325195;85.24108123779297;-358.5197071625007
14;-12.09965705871582;86.06358337402344;-1041.3398440698802
15;-21.82308578491211;86.25636291503906;-1882.380007389409
16;-13.650339126586914;86.10618591308594;-1175.378638610564
17;-22.652807235717773;86.25797271728516;-1953.9852285084635
18;-47.72998809814453;86.37823486328125;-4122.832121963147
19;-24.120941162109375;86.26434326171875;-2080.7771482039243
20;-14.269038200378418;86.10640716552734;-1228.6556131422476
21;-11.15711784362793;85.9967041015625;-959.4753618247341
22;-10.279706001281738;85.9505386352539;-883.5462678222175
23;-8.7651948928833;85.60041809082031;-750.3043474783335
24;-7.513696670532227;85.07000732421875;-639.1902307941345
25;-6.602166175842285;84.48983764648438;-557.8159483120253
26;-5.881267547607422;83.85558319091797;-493.17712010644027
27;-10.497512817382812;83.67436218261719;-878.3726894983556
28;-16.701736450195312;83.23224639892578;-1390.1230435125763
29;-18.23413848876953;82.58189392089844;-1505.8096904185368
30;-12.78720474243164;81.73938751220703;-1045.2182836395514
31;-10.029075622558594;80.87517547607422;-811.1032508372446
32;-9.298192977905273;80.06105041503906;-744.4230967728363
33;-11.282208442687988;79.35364532470703;-895.2843672404779
34;-8.97358226776123;78.39997100830078;-703.5285896330824
35;-7.898278713226318;77.47770690917969;-611.9405232303616
36;-5.946410179138184;76.41246032714844;-454.3798319023481
37;-6.178112983703613;75.61698913574219;-467.1703023681039
38;-5.7991180419921875;74.74993133544922;-433.48367544508073
39;-5.818517208099365;73.97216796875;-430.40833224658854
