DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
61;-411.124;0.785164118;-322.7998072896087
62;-414.7875;0.785164118;-325.67626638718644
63;-418.13;0.785164118;-328.3006764931492
64;-417.80954;0.785164118;-328.0490588050657
65;-408.48218;0.785164118;-320.72554879952975
66;-408.30997;0.785164118;-320.5903351423681
67;-406.00897;0.785164118;-318.7836765323497
68;-416.56696;0.785164118;-327.07342625524257
69;-422.70166;0.785164118;-331.89017617371775
70;-433.20862;0.785164118;-340.1398625907849
71;-422.8472;0.785164118;-332.00444764828876
72;-426.16125;0.785164118;-334.6065258158367
73;-435.22928;0.785164118;-341.7264126318351
74;-418.27908;0.785164118;-328.41772747936835
75;-424.59454;0.785164118;-333.3764002210526
76;-421.228;0.785164118;-330.733108604928
77;-400.541;0.785164118;-314.49040929472
78;-401.3087;0.785164118;-315.09317994146096
79;-400.54984;0.785164118;-314.4973580738405
80;-396.02097;0.785164118;-310.9414521461233
81;-382.4522;0.785164118;-300.28775172774937
82;-366.78265;0.785164118;-287.98457887532385
83;-365.0533;0.785164118;-286.62676347387406
84;-354.08844;0.785164118;-278.0175376405902
85;-354.42212;0.785164118;-278.27953057473974
86;-365.02423;0.785164118;-286.60392834800575
87;-365.45154;0.785164118;-286.9394345729885
88;-368.7978;0.785164118;-289.5667919197506
89;-356.87018;0.785164118;-280.2016587246947
90;-354.24136;0.785164118;-278.1376077515307
91;-348.6133;0.785164118;-273.7186634570495
92;-352.85773;0.785164118;-277.0512260393114
93;-357.68716;0.785164118;-280.84312688274457
94;-364.99808;0.785164118;-286.58339350763936
95;-346.72263;0.785164118;-272.23416462384114
96;-340.9414;0.785164118;-267.6949585279609
97;-333.43243;0.785164118;-261.7991830186112
98;-338.0147;0.785164118;-265.3970212341244
99;-338.87015;0.785164118;-266.06868063938737
100;-341.72983;0.785164118;-268.31399890236673
101;-346.99594;0.785164118;-272.4487620921275
102;-350.86703;0.785164118;-275.4882060020416
103;-359.55988;0.785164118;-282.31351250594616
104;-367.95312;0.785164118;-288.90359085596873
105;-343.60703;0.785164118;-269.7879068377432
106;-346.32108;0.785164118;-271.91888174222964
107;-313.99765;0.785164118;-246.53968803133696
108;-344.77176;0.785164118;-270.7024140926135
109;-343.16556;0.785164118;-269.4412825661677
110;-348.0472;0.785164118;-273.2741812064117
111;-347.01492;0.785164118;-272.4636660252756
112;-352.30347;0.785164118;-276.6160407759106
113;-355.85272;0.785164118;-279.4027887389122
114;-367.0427;0.785164118;-288.1887531749295
115;-374.75565;0.785164118;-294.2446860623527
116;-383.09238;0.785164118;-300.79038807123345
117;-383.522;0.785164118;-301.1277153555719
118;-400.64438;0.785164118;-314.5715902038931
119;-422.6628;0.785164118;-331.85967342950954
120;-417.54004;0.785164118;-327.83745650019335
121;-421.97006;0.785164118;-331.3157517535269
122;-417.26343;0.785164118;-327.62027121071725
123;-416.4425;0.785164118;-326.97571204402414
124;-417.582;0.785164118;-327.8704032977474
125;-410.6146;0.785164118;-322.39984514795657
126;-396.34375;0.785164118;-311.1948908935625
127;-387.92212;0.785164118;-304.5825285277397
128;-379.9944;0.785164118;-298.35795595945456
129;-377.1485;0.785164118;-296.12346820738026
130;-375.2431;0.785164118;-294.62742002404747
131;-392.20847;0.785164118;-307.94801394624835
132;-388.9925;0.785164118;-305.4229474204012
133;-383.54745;0.785164118;-301.14769908587016
134;-379.64938;0.785164118;-298.0870733802923
135;-370.94437;0.785164118;-291.2522063147702
136;-362.23938;0.785164118;-284.41736321055544
137;-353.5344;0.785164118;-277.5825201063406
138;-344.8294;0.785164118;-270.74767700212584
139;-336.12442;0.785164118;-263.91283389791107
140;-327.41943;0.785164118;-257.0779907936963
141;-326.10834;0.785164118;-256.04856510895763
142;-321.82358;0.785164118;-252.68432567842925
143;-323.23245;0.785164118;-253.79052339179557
144;-349.28455;0.785164118;-274.2456924113772
145;-399.00476;0.785164118;-313.2842210459407
146;-438.4395;0.785164118;-344.2469744319076
147;-491.5651;0.785164118;-385.9592734654965
148;-530.6901;0.785164118;-416.6788435435538
149;-560.8188;0.785164118;-440.33478795518124
150;-576.1946;0.785164118;-452.4073092634214
151;-580.3576;0.785164118;-455.67596703908214
152;-580.9104;0.785164118;-456.1100021597319
153;-581.5572;0.785164118;-456.6178381069027
154;-602.71356;0.785164118;-473.22906232356945
155;-623.6105;0.785164118;-489.6365675054695
156;-629.2812;0.785164118;-494.08900970757287
157;-632.8153;0.785164118;-496.8638728621477
158;-640.13525;0.785164118;-502.61123203400683
159;-703.0926;0.785164118;-552.0430735603846
160;-754.59033;0.785164118;-592.4772525006435
161;-767.7415;0.785164118;-602.8030903510672
162;-726.89276;0.785164118;-570.7301137521056
163;-684.732;0.785164118;-537.6269926291859
164;-638.4437;0.785164118;-501.2831046923166
165;-594.06213;0.785164118;-466.43627131368726
166;-557.97577;0.785164118;-438.10255256599424
167;-562.1566;0.785164118;-441.38520374512524
168;-528.3475;0.785164118;-414.83947774905454
169;-477.95694;0.785164118;-375.2746389993827
170;-475.11023;0.785164118;-373.039504292011
171;-499.44495;0.785164118;-392.14625074260914
172;-472.50827;0.785164118;-370.9965392692815
173;-444.16312;0.785164118;-348.7409415795827
174;-533.5614;0.785164118;-418.9332671033118
175;-606.14215;0.785164118;-475.9210672774593
176;-607.8916;0.785164118;-477.2946731804277
177;-590.15204;0.785164118;-463.3662048530284
178;-545.6957;0.785164118;-428.4606662714846
179;-513.693;0.785164118;-403.33330590044113
180;-503.07516;0.785164118;-394.99656805390947
181;-519.7449;0.785164118;-408.0850248308716
182;-570.7077;0.785164118;-448.09920997656553
183;-569.8663;0.785164118;-447.43854881135877
184;-560.2759;0.785164118;-439.90851629810055
185;-546.92444;0.785164118;-429.4254443490954
186;-531.2773;0.785164118;-417.13985909623693
187;-495.13666;0.785164118;-388.7635371441432
188;-465.426;0.785164118;-365.43579075876835
189;-527.1081;0.785164118;-413.8663611364991
190;-525.1682;0.785164118;-412.34323667590377
191;-497.94604;0.785164118;-390.9693671726723
192;-452.69025;0.785164118;-355.4361381847831
193;-395.52164;0.785164118;-310.5493972358842
194;-377.12466;0.785164118;-296.10475442636954
195;-360.3148;0.785164118;-282.9062433649234
196;-323.87082;0.785164118;-254.29174601814825
197;-293.05685;0.785164118;-230.09772648952227
198;-269.31985;0.785164118;-211.4602862039372
199;-259.16614;0.785164118;-203.48795191900658
200;-288.40375;0.785164118;-226.4442740797379
201;-295.66476;0.785164118;-232.14536396717753
202;-285.50815;0.785164118;-224.1707533580523
203;-282.52686;0.785164118;-221.82994928543457
204;-281.29965;0.785164118;-220.86639323449663
205;-276.8241;0.785164118;-217.35234771065356
206;-281.27814;0.785164118;-220.84950051284167
207;-301.0065;0.785164118;-236.33950327645744
208;-353.0911;0.785164118;-277.23445815632635
209;-395.8708;0.785164118;-310.82353855284094
210;-442.60394;0.785164118;-347.5167344277047
211;-579.8963;0.785164118;-455.31376791775375
212;-640.59143;0.785164118;-502.9694056557068
213;-649.79285;0.785164118;-510.19402734596605
214;-588.6535;0.785164118;-462.1896088187794
215;-535.15393;0.785164118;-420.18366396408175
216;-564.43054;0.785164118;-443.17060867555784
217;-572.7715;0.785164118;-449.7196173448476
218;-569.0154;0.785164118;-446.77045964088524
219;-560.94855;0.785164118;-440.43667143387194
220;-540.05286;0.785164118;-424.0301247042644
221;-500.07254;0.785164118;-392.63901502748064
222;-456.76617;0.785164118;-358.6364103893753
223;-435.8479;0.785164118;-342.2121322923569
224;-394.00262;0.785164118;-309.35672316442884
225;-327.03436;0.785164118;-256.77564701803334
226;-303.1153;0.785164118;-237.99525357302477
227;-319.70264;0.785164118;-251.01903878155176
228;-315.9303;0.785164118;-248.05713366209935
229;-298.6064;0.785164118;-234.45504230159696
230;-296.53375;0.785164118;-232.82766219288706
231;-322.37463;0.785164118;-253.11699500456226
232;-334.36752;0.785164118;-262.5333814359585
233;-311.8931;0.785164118;-244.887268356486
234;-296.18854;0.785164118;-232.55661188457358
235;-271.30057;0.785164118;-213.01547089371599
236;-255.8032;0.785164118;-200.84749971779848
237;-260.75235;0.785164118;-204.73338878916303
238;-250.0586;0.785164118;-196.33703521003906
239;-230.03629;0.785164118;-180.61623713439397
240;-230.62343;0.785164118;-181.07724070642342
241;-216.75352;0.785164118;-170.18709010749453
242;-198.84462;0.785164118;-156.12566048582087
243;-200.82988;0.785164118;-157.6844154103892
244;-195.417;0.785164118;-153.43442229376498
245;-192.02249;0.785164118;-150.76917013948895
246;-167.01813;0.785164118;-131.13664072254332
247;-221.93605;0.785164118;-174.25622327652766
248;-230.42427;0.785164118;-180.92086921490522
249;-203.94788;0.785164118;-160.13255415911107
250;-163.96783;0.785164118;-128.74166013409314
251;-156.08316;0.785164118;-122.55089697042523
252;-155.97452;0.785164118;-122.46559471639446
253;-145.94354;0.785164118;-114.58963280947277
254;-116.05251;0.785164118;-91.12026910755714
255;-116.21477;0.785164118;-91.24766538820828
256;-124.73075;0.785164118;-97.93411012591294
257;-130.8567;0.785164118;-102.74398913951644
258;-131.71634;0.785164118;-103.41894322453484
259;-130.68007;0.785164118;-102.60530109279452
260;-139.33334;0.785164118;-109.3995417617691
261;-136.98285;0.785164118;-107.55401791129064
262;-133.8539;0.785164118;-105.09727705324374
263;-131.10858;0.785164118;-102.94175378941614
264;-131.52312;0.785164118;-103.26723220728884
265;-135.24153;0.785164118;-106.18679769672092
266;-149.62817;0.785164118;-117.48267313171044
267;-217.23164;0.785164118;-170.56249190915182
268;-275.21304;0.785164118;-216.08740633634514
269;-278.10773;0.785164118;-218.36020821881138
270;-340.71918;0.785164118;-267.52047228811483
271;-340.91483;0.785164118;-267.6740882292922
272;-365.91586;0.785164118;-287.30400586374077
273;-420.08276;0.785164118;-329.8339126254302
274;-517.36304;0.785164118;-406.2148927177837
275;-578.67206;0.785164118;-454.3525361136251
276;-603.4402;0.785164118;-473.79958105066845
277;-607.45886;0.785164118;-476.95490184274337
278;-599.28754;0.785164118;-470.5390701194938
279;-778.04956;0.785164118;-610.8965969670746
280;-853.4637;0.785164118;-670.1090607572987
281;-941.01373;0.785164118;-738.8502176262904
282;-935.91815;0.785164118;-734.8493502217891
283;-889.0704;0.785164118;-698.0661556766614
284;-904.36957;0.785164118;-710.0785341035485
285;-1017.99567;0.785164118;-799.2936696183616
286;-927.36786;0.785164118;-728.135966984339
287;-862.737;0.785164118;-677.390135287585
288;-779.54205;0.785164118;-612.0684486624759
289;-663.9077;0.785164118;-521.2765153586885
290;-599.9111;0.785164118;-471.0286475504928
291;-563.931;0.785164118;-442.77840999747485
292;-549.01697;0.785164118;-431.06842326886544
293;-533.4986;0.785164118;-418.88395473286363
294;-550.05225;0.785164118;-431.88128665811814
295;-564.3382;0.785164118;-443.0981017596317
296;-611.05035;0.785164118;-479.7748122550648
297;-613.70605;0.785164118;-481.8599731399707
298;-602.42224;0.785164118;-473.000327683969
299;-678.32025;0.785164118;-532.5927219629323
300;-797.8225;0.785164118;-626.4216072006733
301;-892.2995;0.785164118;-700.6015495259601
302;-894.386;0.785164118;-702.2397841068823
303;-835.09357;0.785164118;-655.6855038982186
304;-778.1023;0.785164118;-610.9380021061098
305;-788.075;0.785164118;-618.7682218773729
306;-764.6076;0.785164118;-600.3424557805821
307;-817.4807;0.785164118;-641.8565229187788
308;-825.32;0.785164118;-648.0116556184737
309;-810.5654;0.785164118;-636.4268906818769
310;-758.4816;0.785164118;-595.5325587959982
311;-705.95087;0.785164118;-554.2872896032277
312;-679.6175;0.785164118;-533.6112692141512
313;-669.1279;0.785164118;-525.3752407422519
314;-659.20026;0.785164118;-517.5803878605814
315;-657.9002;0.785164118;-516.5596361690897
316;-627.44116;0.785164118;-492.6442866445024
317;-601.2892;0.785164118;-472.1106922660886
318;-568.4796;0.785164118;-446.34979492971553
319;-533.4054;0.785164118;-418.81077690033277
320;-555.8805;0.785164118;-436.45741712856614
321;-715.6926;0.785164118;-561.9361702007534
322;-831.8145;0.785164118;-653.1109093501576
323;-802.06616;0.785164118;-629.7535707502524
324;-737.67706;0.785164118;-579.1975605300242
325;-716.7835;0.785164118;-562.7926910919285
326;-677.6081;0.785164118;-532.0335608954991
327;-664.6112;0.785164118;-521.8288714148449
328;-647.63275;0.785164118;-508.49799809180723
329;-597.9206;0.785164118;-469.4657952423741
330;-578.2448;0.785164118;-454.0170778112569
331;-533.3848;0.785164118;-418.79462697920445
332;-501.46783;0.785164118;-393.7345499590931
333;-482.25156;0.785164118;-378.6466179321729
334;-457.42755;0.785164118;-359.1556998414413
335;-469.58954;0.785164118;-368.7048558766534
336;-465.34;0.785164118;-365.3682677947631
337;-465.33054;0.785164118;-365.36083978949637
338;-470.0649;0.785164118;-369.07810116065264
339;-433.98868;0.785164118;-340.75233756698725
340;-394.1324;0.785164118;-309.4586066431195
341;-393.0268;0.785164118;-308.5905364018199
342;-417.82474;0.785164118;-328.0609915361071
343;-477.6094;0.785164118;-375.00176763171356
344;-509.27856;0.785164118;-399.867254875144
345;-531.25616;0.785164118;-417.123277871577
346;-519.4613;0.785164118;-407.86237636332834
347;-508.0391;0.785164118;-398.89406637866665
348;-500.14075;0.785164118;-392.69256854932297
349;-497.88602;0.785164118;-390.9222352811896
350;-524.91425;0.785164118;-412.1438306764532
351;-513.04224;0.785164118;-402.8223549833198
352;-498.23846;0.785164118;-391.19896441933605
353;-509.84146;0.785164118;-400.3092211885141
354;-504.95328;0.785164118;-396.4711948285053
355;-544.5713;0.785164118;-427.57783586488085
356;-534.0412;0.785164118;-419.3099867768712
357;-538.9756;0.785164118;-423.18429055615036
358;-537.20514;0.785164118;-421.7941992737513
359;-502.604;0.785164118;-394.6266294303193
360;-490.77194;0.785164118;-385.3365190884573
361;-503.22333;0.785164118;-395.1129002009093
362;-557.5446;0.785164118;-437.7640272162901
363;-610.38776;0.785164118;-479.2545643507064
364;-584.2191;0.785164118;-458.70788709850024
365;-602.84924;0.785164118;-473.33559429587865
366;-587.1179;0.785164118;-460.98392375745357
