DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
1;-307.74738;0.785164118;-241.63219664207116
2;-296.01712;0.785164118;-232.42202122140202
3;-334.12158;0.785164118;-262.34027726033105
4;-329.5278;0.785164118;-258.7334056319612
5;-319.35962;0.785164118;-250.74971368736473
6;-311.75873;0.785164118;-244.78176672039123
7;-302.609;0.785164118;-237.5977354847185
8;-324.4318;0.785164118;-254.73220276915765
9;-370.41577;0.785164118;-290.83717251081885
10;-355.2024;0.785164118;-278.89217328009323
11;-355.58444;0.785164118;-279.1921448863323
12;-333.6531;0.785164118;-261.9724472317844
13;-351.89267;0.785164118;-276.29349761818366
14;-369.06375;0.785164118;-289.7756147129748
15;-372.31332;0.785164118;-292.32706263817244
16;-369.71506;0.785164118;-290.28699693362773
17;-358.1702;0.785164118;-281.2223864548791
18;-404.2927;0.785164118;-317.4361165704295
19;-386.7905;0.785164118;-303.69401929130305
20;-385.30356;0.785164118;-302.5265285538326
21;-388.70642;0.785164118;-305.19833412565845
22;-424.14642;0.785164118;-333.024552384483
23;-404.79333;0.785164118;-317.829201816883
24;-392.24692;0.785164118;-307.97820519346146
25;-375.52908;0.785164118;-294.8519614348683
26;-370.33087;0.785164118;-290.77051215387684
27;-386.7552;0.785164118;-303.666296058743
28;-388.5682;0.785164118;-305.0898133648423
29;-402.48367;0.785164118;-316.0157381955881
30;-392.44174;0.785164118;-308.1311741793414
31;-391.94714;0.785164118;-307.7428332717356
32;-401.07068;0.785164118;-314.9063057057346
33;-396.99023;0.785164118;-311.70248722766013
34;-378.8865;0.785164118;-297.4880886201066
35;-383.57693;0.785164118;-301.17084570873357
36;-385.91644;0.785164118;-303.0077434885797
37;-378.26163;0.785164118;-296.99745689158584
38;-389.35574;0.785164118;-305.70815886133613
39;-386.9622;0.785164118;-303.8288256062404
40;-402.33743;0.785164118;-315.9009156109489
41;-362.37427;0.785164118;-284.5232721888745
42;-349.76126;0.785164118;-274.6199919928981
43;-354.56717;0.785164118;-278.39341866839374
44;-332.2508;0.785164118;-260.8714011994901
45;-324.18445;0.785164118;-254.53799637339378
46;-324.02762;0.785164118;-254.41485921511736
47;-373.56778;0.785164118;-293.31201613653997
48;-400.54974;0.785164118;-314.49728618991855
49;-421.2291;0.785164118;-330.7339712119913
50;-430.7377;0.785164118;-338.19978742165324
51;-432.61572;0.785164118;-339.67434231232716
52;-425.24176;0.785164118;-333.88457162652577
53;-421.44095;0.785164118;-330.90031060735123
54;-415.21863;0.785164118;-326.01476777558327
55;-399.8953;0.785164118;-313.98343595461245
56;-400.10452;0.785164118;-314.1477146775436
57;-393.26117;0.785164118;-308.7745592419762
58;-421.6567;0.785164118;-331.0697170500472
59;-409.70465;0.785164118;-321.68539084783436
60;-415.26358;0.785164118;-326.0500627812538
