DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
121;-7.000612735748291;13.136696815490723;-91.96492703218837
122;-10.772275924682617;13.092750549316406;-141.03872153027623
123;-12.550487518310547;13.059268951416016;-163.90019197300717
124;-9.660552024841309;13.033095359802246;-125.90689576808745
125;-7.615612983703613;13.011919975280762;-99.09374670666057
126;-6.210374355316162;12.994077682495117;-80.69808681035374
127;-5.1896257400512695;13.011974334716797;-67.52727693633278
128;-4.487464904785156;13.082584381103516;-58.70763827409246
129;-4.285569190979004;13.164588928222656;-56.41775672269432
130;-3.9056572914123535;13.26498031616211;-51.80846709225989
131;-5.627820014953613;13.393152236938477;-75.37425022236312
132;-5.403647422790527;13.560598373413086;-73.27669245199104
133;-4.5358052253723145;13.77957820892334;-62.50148284346096
134;-4.1628217697143555;14.059808731079102;-58.52847786375605
135;-3.9163410663604736;14.402485847473145;-56.405046782134605
136;-3.4156136512756348;14.792867660522461;-50.52672072279438
137;-3.1132586002349854;15.196531295776367;-47.31073175031588
138;-2.873929262161255;15.571645736694336;-44.7518083426944
139;-2.7002573013305664;15.889946937561035;-42.90694523590446
140;-2.4254353046417236;16.11992835998535;-39.09784335260383
141;-2.247591018676758;16.259605407714844;-36.544943081607926
142;-2.1483078002929688;16.331724166870117;-35.08557041992026
143;-2.202101945877075;16.36493682861328;-36.03725923444472
144;-3.1451539993286133;16.38003921508789;-51.5177458464932
145;-3.7599313259124756;16.38772201538086;-61.61670936597602
146;-5.07491397857666;16.392040252685547;-83.18819421574517
147;-3.882694959640503;16.3939266204834;-63.652616258067155
148;-3.187520742416382;16.393245697021484;-52.25381069478408
149;-2.7216880321502686;16.39400863647461;-44.61937710486109
150;-2.3964180946350098;16.362407684326172;-39.21116984651417
151;-2.192746639251709;16.079742431640625;-35.25880117701308
152;-2.02441668510437;15.080984115600586;-30.5301958714158
153;-1.8957805633544922;14.244750022888184;-27.004920223234876
154;-1.7825461626052856;13.831923484802246;-24.656042129284174
155;-1.703809142112732;13.739789962768555;-23.409979749273816
156;-1.8513307571411133;13.843509674072266;-25.628915246390534
157;-2.1010048389434814;13.944365501403809;-29.297179394445948
158;-3.972191572189331;14.048636436462402;-55.80387525366791
159;-15.016217231750488;14.170421600341797;-212.78612901622182
