DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
24;4.3239437659171385;4.3239437659171385;4.3239437659171385;4.091622130111813;4.298000986743252;4.536219421469863;5.024168525079173;5.756323056918084;6.577353137624022;6.849212777572837;7.187593465249855;7.3950100116008946;7.46694951909872;7.455736474016327;7.450786920239272;7.393826372595196;7.377083047115035
25;4.359402834182065;4.359402834182065;4.359402834182065;4.118315904789431;4.3173549394657975;4.548356804666457;5.024333532070271;5.746681908291406;6.573891222532304;6.835936686596316;7.171857978057982;7.379534121871925;7.4515693361205875;7.442757244863469;7.437695553595367;7.382283405043415;7.365825106348225
26;4.394861902446993;4.394861902446993;4.394861902446993;4.145009679467048;4.3367088921883425;4.560494187863052;5.024498539061369;5.737040759664728;6.570429307440583;6.822660595619798;7.15612249086611;7.364058232142949;7.436189153142453;7.429778015710611;7.424604186951458;7.370740437491636;7.354567165581414
27;4.43032097071192;4.43032097071192;4.43032097071192;4.171703454144665;4.3560628449108885;4.572631571059644;5.024663546052467;5.727399611038051;6.566967392348864;6.809384504643279;7.140387003674237;7.348582342413977;7.420808970164319;7.416798786557757;7.41151282030755;7.359197469939855;7.343309224814604
28;4.465780038976846;4.465780038976846;4.465780038976846;4.198397228822282;4.3754167976334335;4.584768954256238;5.024828553043565;5.717758462411374;6.563505477257144;6.796108413666761;7.124651516482363;7.333106452685005;7.405428787186185;7.403819557404899;7.398421453663642;7.3476545023880755;7.332051284047796
29;4.501239107241774;4.501239107241774;4.501239107241774;4.225091003499899;4.394770750355978;4.5969063374528325;5.0249935600346625;5.708117313784696;6.5600435621654265;6.782832322690239;7.108916029290494;7.317630562956032;7.390048604208051;7.3908403282520405;7.385330087019733;7.336111534836295;7.320793343280985
30;4.536698175506702;4.536698175506702;4.536698175506702;4.251784778177517;4.414124703078522;4.609043720649426;5.025158567025761;5.698476165158019;6.55658164707371;6.769556231713721;7.09318054209862;7.3021546732270615;7.374668421229916;7.377861099099186;7.372238720375825;7.3245685672845156;7.309535402514175
31;4.5721572437716285;4.5721572437716285;4.5721572437716285;4.278478552855135;4.433478655801069;4.621181103846021;5.025323574016858;5.688835016531342;6.553119731981988;6.7562801407372;7.077445054906748;7.286678783498087;7.359288238251784;7.364881869946328;7.359147353731917;7.313025599732739;7.298277461747367
32;4.607616312036556;4.607616312036556;4.607616312036556;4.305172327532751;4.452832608523612;4.633318487042613;5.025488581007957;5.679193867904664;6.549657816890269;6.74300404976068;7.061709567714875;7.271202893769115;7.3439080552736495;7.351902640793469;7.34605598708801;7.301482632180957;7.287019520980558
33;4.643075380301483;4.643075380301483;4.643075380301483;4.331866102210369;4.472186561246158;4.645455870239207;5.025653587999056;5.669552719277987;6.546195901798549;6.729727958784162;7.045974080523002;7.255727004040145;7.328527872295515;7.3389234116406135;7.332964620444101;7.289939664629177;7.275761580213747
34;4.678534448566411;4.678534448566411;4.678534448566411;4.358559876887987;4.491540513968703;4.657593253435801;5.025818594990153;5.6599115706513095;6.542733986706829;6.716451867807641;7.030238593331129;7.240251114311172;7.313147689317381;7.325944182487756;7.319873253800195;7.278396697077398;7.264503639446939
