DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
32;331.04822578059844;331.04822578059844;331.04822578059844;326.72411943166395;320.6380596950208;313.4350774966924;296.3442373691391;271.30847943741486;256.2891791306199;242.19406137961195;235.93444222162768;231.29176662558555;229.68977313172556;226.04191709709468;226.04191709709468;223.86931323117463;223.86931323117463
33;331.8200123327831;331.8200123327831;331.8200123327831;327.5218771567157;321.4647204477474;314.2335257719314;296.98534530498176;271.59488293584195;256.45029668860036;242.283042198933;236.05126822673682;231.4189553455676;229.81329537414365;226.21908336194656;226.21908336194656;224.13977198729827;224.13977198729827
34;332.5917988849679;332.5917988849679;332.5917988849679;328.3196348817676;322.2913812004738;315.03197404717025;297.62645324082445;271.88128643426904;256.6114142465808;242.372023018254;236.16809423184603;231.54614406554964;229.9368176165617;226.39624962679846;226.39624962679846;224.41023074342186;224.41023074342186
35;332.9923154371525;332.9923154371525;332.9923154371525;328.7249926068194;322.6577719532002;315.3361423224093;297.75338117666706;271.7417499326962;256.5707018045613;242.4675438375749;236.2996702369552;231.68142278553148;230.06397985897976;226.57663589165028;226.57663589165028;224.6865294995455;224.6865294995455
36;333.3928319893372;333.3928319893372;333.3928319893372;329.1303503318713;323.0241627059266;315.6403105976483;297.8803091125096;271.6022134311233;256.52998936254164;242.56306465689605;236.4312462420644;231.81670150551352;230.19114210139787;226.75702215650216;226.75702215650216;224.96282825566914;224.96282825566914
37;333.793348541522;333.793348541522;333.793348541522;329.5357080569231;323.390553458653;315.9444788728872;298.00723704835235;271.46267692955035;256.4892769205221;242.65858547621693;236.56282224717359;231.9519802254955;230.3183043438159;226.937408421354;226.937408421354;225.23912701179276;225.23912701179276
38;334.19386509370673;334.19386509370673;334.19386509370673;329.94106578197494;323.75694421137956;316.2486471481262;298.1341649841949;271.3231404279775;256.44856447850253;242.7541062955379;236.69439825228275;232.0872589454775;230.44546658623395;227.11779468620588;227.11779468620588;225.5154257679164;225.5154257679164
39;334.59438164589153;334.59438164589153;334.59438164589153;330.3464235070268;324.1233349641059;316.55281542336513;298.26109292003764;271.1836039264046;256.4078520364829;242.8496271148589;236.82597425739195;232.22253766545947;230.57262882865192;227.29818095105776;227.29818095105776;225.79172452404006;225.79172452404006
40;334.9948981980761;334.9948981980761;334.9948981980761;330.7517812320786;324.48972571683237;316.8569836986041;298.38802085588026;271.0440674248317;256.36713959446337;242.94514793417983;236.95755026250106;232.3578163854414;230.69979107107;227.4785672159096;227.4785672159096;226.06802328016363;226.06802328016363
41;335.39541475026095;335.39541475026095;335.39541475026095;331.1571389571305;324.8561164695588;317.1611519738431;298.51494879172293;270.90453092325885;256.3264271524438;243.04066875350088;237.0891262676103;232.4930951054234;230.82695331348813;227.6589534807614;227.6589534807614;226.34432203628728;226.34432203628728
42;335.79593130244564;335.79593130244564;335.79593130244564;331.5624966821823;325.22250722228523;317.465320249082;298.64187672756555;270.764994421686;256.2857147104242;243.13618957282185;237.2207022727195;232.62837382540536;230.95411555590616;227.8393397456133;227.8393397456133;226.62062079241085;226.62062079241085
43;336.19644785463043;336.19644785463043;336.19644785463043;331.9678544072342;325.58889797501166;317.76948852432105;298.7688046634082;270.62545792011304;256.2450022684046;243.23171039214287;237.35227827782865;232.7636525453874;231.0812777983242;228.0197260104652;228.0197260104652;226.8969195485345;226.8969195485345
44;336.5614450339148;336.5614450339148;336.5614450339148;332.34651182122474;325.97596257370054;318.0961002809585;298.91887696406354;270.4145812294149;256.11906139537854;243.29084278294567;237.4600918964753;232.87530655465633;231.18831267978675;228.12903416159307;228.12903416159307;227.089121427714;227.089121427714
45;336.822933909172;336.822933909172;336.822933909172;332.6152695868884;326.25344341742624;318.3073261045274;299.0072748461143;270.1633141586827;255.94245840096835;243.36779017091249;237.56879013225173;232.98289039943305;231.29037657996724;228.24284118963521;228.24284118963521;227.28731139537902;227.28731139537902
46;336.8844044196493;336.8844044196493;336.8844044196493;332.67927464814966;326.34234187121496;318.3282973369013;298.923311973448;269.7861572766297;255.69969867699848;243.4260225903259;237.66138648123572;233.0715924832035;231.38105582605976;228.3824711107591;228.3824711107591;227.52030538820128;227.52030538820128
47;336.9458749301266;336.9458749301266;336.9458749301266;332.743279709411;326.4312403250036;318.34926856927524;298.8393491007818;269.4090003945767;255.45693895302855;243.48425500973926;237.75398283021977;233.16029456697382;231.4717350721523;228.52210103188315;228.52210103188315;227.7532993810236;227.7532993810236
48;337.0073454406039;337.0073454406039;337.0073454406039;332.8072847706722;326.5201387787921;318.3702398016492;298.75538622811547;269.0318435125237;255.2141792290586;243.54248742915254;237.84657917920384;233.24899665074426;231.56241431824483;228.661730953007;228.661730953007;227.98629337384583;227.98629337384583
49;337.05857933569655;337.05857933569655;337.05857933569655;332.87017044731806;326.57639723258075;318.34330416222815;298.6042602785262;268.5963687843169;254.89168688970406;243.50621554087354;237.8528312204955;233.2775291960531;231.61815202587576;228.81360087413097;228.81360087413097;228.26418828974494;228.26418828974494
50;336.9806404962264;336.9806404962264;336.9806404962264;332.79825580319414;326.48184782750815;318.16715023892584;298.3547715382392;268.1737606158535;254.56447490319644;243.44881566542543;237.84656024655067;233.30648708217993;231.67493672628942;228.99724048250434;228.99724048250434;228.5550397413298;228.5550397413298
51;336.90270165675605;336.90270165675605;336.90270165675605;332.7263411590703;326.38729842243544;317.9909963156236;298.1052827979522;267.7511524473901;254.23726291668865;243.39141578997723;237.84028927260576;233.33544496830672;231.73172142670316;229.1808800908777;229.1808800908777;228.84589119291465;228.84589119291465
52;336.8247628172857;336.8247628172857;336.8247628172857;332.65442651494624;326.2927490173629;317.8148423923213;297.8557940576652;267.3285442789267;253.91005093018092;243.3340159145291;237.8340182986608;233.36440285443356;231.78850612711676;229.36451969925102;229.36451969925102;229.13674264449946;229.13674264449946
53;336.7468239778155;336.7468239778155;336.7468239778155;332.5825118708224;326.1981996122902;317.6386884690191;297.6063053173782;266.9059361104632;253.5828389436733;243.27661603908092;237.82774732471606;233.39336074056035;231.84529082753036;229.54815930762436;229.54815930762436;229.42759409608428;229.42759409608428
54;336.66888513834516;336.66888513834516;336.66888513834516;332.5105972266983;326.1036502072175;317.4625345457167;297.35681657709125;266.48332794199973;253.25562695716553;243.21921616363272;237.82147635077115;233.42231862668723;231.90207552794402;229.73179891599767;229.73179891599767;229.71844554766915;229.71844554766915
55;336.9116924872772;336.9116924872772;336.9116924872772;332.8166298573379;326.4706241682474;317.7873876590827;297.6637598236965;266.58055108762295;253.2073006264568;243.19416373840858;237.80427141092284;233.41559635601953;231.91173193816365;229.8697518494085;229.8697518494085;229.9677806553018;229.9677806553018
56;337.1544998362091;337.1544998362091;337.1544998362091;333.1226624879775;326.8375981292773;318.11224077244884;297.97070307030185;266.67777423324605;253.15897429574798;243.16911131318437;237.78706647107455;233.40887408535193;231.92138834838315;230.00770478281905;230.00770478281905;230.21711576293436;230.21711576293436
57;337.1819641723583;337.1819641723583;337.1819641723583;333.1811919686343;326.90954786797806;318.12941552450053;297.9771634027304;266.616591298124;253.091340865381;243.1890136867527;237.79031472903895;233.3930043377675;231.90947185312442;230.10575974509905;230.10575974509905;230.42648879321706;230.42648879321706
58;337.20942850850764;337.20942850850764;337.20942850850764;333.2397214492911;326.98149760667894;318.1465902765524;297.983623735159;266.55540836300185;253.023707435014;243.20891606032103;237.79356298700338;233.37713459018295;231.89755535786583;230.20381470737902;230.20381470737902;230.6358618234998;230.6358618234998
59;337.14666525457227;337.14666525457227;337.14666525457227;333.18768885960867;326.93730763465425;318.02648506445234;297.85804882193133;266.4397494042592;252.9519512096135;243.23552858414604;237.81215098011506;233.39037922466542;231.92072991463837;230.30784107819926;230.30784107819926;230.81354499084063;230.81354499084063
60;336.95619792396474;336.95619792396474;336.95619792396474;333.016660381483;326.7851362460491;317.8509918416487;297.7043842663852;266.3125191842242;252.91656539370953;243.32956928456807;237.9105562600566;233.4540393715949;231.9611747175497;230.39301184119157;230.39301184119157;230.95976929433493;230.95976929433493
61;336.64223871166973;336.64223871166973;336.64223871166973;332.73819032115244;326.5093037445288;317.54383945080303;297.4153660077483;266.077276377096;252.74568201883858;243.26709596757658;237.90736330256416;233.46092688963236;231.95173783381605;230.46615080356506;230.46615080356506;231.15110984070762;231.15110984070762
62;336.08295712195167;336.08295712195167;336.08295712195167;332.2399824509455;325.9693379870861;316.91208278169296;296.78319864976896;265.6364820979949;252.51974786856874;243.17792672795068;237.84416645148386;233.46263300400798;231.97292496462842;230.5607737517269;230.5607737517269;231.2995859315599;231.2995859315599
63;335.58304045950615;335.58304045950615;335.58304045950615;331.85977904155357;325.50132415942386;316.32304148854956;296.1500397778919;265.19355030604106;252.3109676615591;243.10986972970414;237.7901742157641;233.458864926534;231.98151226033107;230.64002382904238;230.64002382904238;231.43829411018658;231.43829411018658
64;335.0078734142489;335.0078734142489;335.0078734142489;331.44504723324377;324.95635456378926;315.67906717027995;295.4679753914563;264.744445747557;252.0907405985673;242.984010550361;237.69016523296838;233.46991035196416;232.0231497399204;230.7141014853578;230.7141014853578;231.5674643212269;231.5674643212269
65;334.43270636899155;334.43270636899155;334.43270636899155;331.03031542493403;324.41138496815466;315.0350928520105;294.78591100502064;264.2953411890729;251.87051353557544;242.85815137101793;237.59015625017264;233.4809557773944;232.06478721950955;230.78817914167314;230.78817914167314;231.69663453226738;231.69663453226738
66;333.7335202761153;333.7335202761153;333.7335202761153;330.5187645690051;323.7623106106153;314.2759502797726;293.98889423763273;263.79798901154123;251.64542932972637;242.71869219167476;237.4773567911865;233.48002025044372;232.09023422290846;230.8418567979885;230.8418567979885;231.80767140997443;231.80767140997443
67;333.03433418323897;333.03433418323897;333.03433418323897;330.0072137130762;323.1132362530759;313.51680770753495;293.19187747024466;263.3006368340095;251.4203451238773;242.57923301233166;237.3645573322003;233.47908472349292;232.11568122630717;230.89553445430377;230.89553445430377;231.91870828768148;231.91870828768148
