DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
11;27.910758749821017;27.910758749821017;27.910758749821017;28.314176443933885;28.836488490570275;29.335736907071006;30.297528225103008;31.539780959236875;32.812457265090714;33.24800152293315;33.79937211243316;34.14455527408987;34.30833154919758;34.44947368099011;34.49778974190952;34.571601321685264;34.58687604125115
12;27.845054849208108;27.845054849208108;27.845054849208108;28.253949942094547;28.780485415555674;29.284033248450722;30.255076957315964;31.512776871487528;32.80947529444887;33.24904218824356;33.80052981842303;34.145859240431435;34.30944212180713;34.45165751354867;34.4996665652264;34.5738364819319;34.588931427572
13;27.779350948595198;27.779350948595198;27.779350948595198;28.1937234402552;28.724482340541066;29.23232958983044;30.212625689528924;31.485772783738195;32.806493323807025;33.250082853553955;33.801687524412884;34.147163206773016;34.310552694416685;34.453841346107225;34.50154338854327;34.57607164217853;34.59098681389284
14;27.713647047982295;27.713647047982295;27.713647047982295;28.13349693841587;28.668479265526457;29.180625931210155;30.17017442174188;31.458768695988855;32.80351135316519;33.25112351886436;33.80284523040274;34.1484671731146;34.311663267026226;34.456025178665776;34.50342021186015;34.57830680242515;34.59304220021368
15;27.647943147369382;27.647943147369382;27.647943147369382;28.073270436576514;28.61247619051185;29.12892227258988;30.127723153954847;31.43176460823952;32.80052938252335;33.25216418417477;33.80400293639259;34.14977113945617;34.31277383963578;34.45820901122433;34.50529703517704;34.58054196267178;34.595097586534536
16;27.58223924675647;27.58223924675647;27.58223924675647;28.013043934737173;28.556473115497248;29.077218613969595;30.08527188616781;31.404760520490186;32.79754741188152;33.253204849485165;33.80516064238246;34.15107510579775;34.31388441224532;34.4603928437829;34.50717385849392;34.582777122918415;34.597152972855376
17;27.516535346143563;27.516535346143563;27.516535346143563;27.952817432897827;28.50047004048264;29.02551495534931;30.04282061838077;31.37775643274084;32.79456544123967;33.254245514795564;33.806318348372315;34.15237907213933;34.314994984854884;34.462576676341456;34.5090506818108;34.58501228316505;34.59920835917621
18;27.450831445530653;27.450831445530653;27.450831445530653;27.89259093105849;28.444466965468038;28.973811296729036;30.000369350593733;31.3507523449915;32.791583470597836;33.25528618010597;33.80747605436217;34.1536830384809;34.31610555746443;34.464760508900014;34.51092750512768;34.587247443411684;34.60126374549707
19;27.38512754491774;27.38512754491774;27.38512754491774;27.83236442921914;28.388463890453423;28.922107638108745;29.957918082806703;31.32374825724215;32.78860149995599;33.256326845416375;33.80863376035202;34.15498700482248;34.31721613007398;34.46694434145857;34.51280432844456;34.58948260365832;34.60331913181792
20;27.31942364430483;27.31942364430483;27.31942364430483;27.77213792737979;28.332460815438825;28.870403979488472;29.915466815019656;31.296744169492822;32.78561952931414;33.25736751072677;33.809791466341885;34.156290971164054;34.31832670268353;34.46912817401713;34.51468115176144;34.591717763904946;34.605374518138746
21;27.238782732323568;27.238782732323568;27.238782732323568;27.698867972732366;28.26381143419616;28.80759943456436;29.864484136322506;31.265823125517326;32.78102012594828;33.25697330803854;33.810200701961236;34.15735875138183;34.31947491173225;34.47146072055386;34.51665184900663;34.59406670214758;34.60753303170211
22;27.158141820342294;27.158141820342294;27.158141820342294;27.62559801808492;28.195162052953513;28.74479488964024;29.813501457625378;31.234902081541836;32.776420722582436;33.2565791053503;33.81060993758059;34.15842653159961;34.32062312078098;34.47379326709058;34.51862254625183;34.596415640390205;34.60969154526548
23;27.077500908361035;27.077500908361035;27.077500908361035;27.552328063437482;28.12651267171086;28.68199034471612;29.762518778928236;31.203981037566336;32.77182131921658;33.25618490266206;33.811019173199924;34.159494311817376;34.321771329829694;34.476125813627306;34.52059324349702;34.59876457863283;34.61185005882882
